name,formattedAddress,location,displayName,websiteUri
places/ChIJzRNqgvJfwokR74krhY19QQs,"1086 Myrtle Ave, Brooklyn, NY 11221, USA","{'latitude': 40.6966481, 'longitude': -73.93714229999999}","{'text': 'Tog Maker LLC', 'languageCode': 'en'}",http://togmaker.com/
places/ChIJT8s0RKpbwokRuHSkBP0tDE0,"80 Broad St, New York, NY 10004, USA","{'latitude': 40.7043392, 'longitude': -74.0117909}","{'text': 'The Stitch N Print Store - Screen Printing & Embroidery Shop', 'languageCode': 'en'}",https://thestitchnprintstore.com/
places/ChIJ5eIPC_hYwokRulpZXrbsAu0,"1697 Broadway #302, New York, NY 10019, USA","{'latitude': 40.763629, 'longitude': -73.9830781}","{'text': 'BCCO NYC : Same Day / Rush Custom Printed T-shirts NYC', 'languageCode': 'en'}",https://www.bcconyc.deco-apparel.com/
places/ChIJQxok-KxawokRqedVhwXo-1w,"4620 2nd Ave, Brooklyn, NY 11232, USA","{'latitude': 40.651109700000006, 'longitude': -74.015284}","{'text': 'United Apparel & Promos', 'languageCode': 'en'}",http://www.unitedaap.com/
places/ChIJM_GX36fTw4kRStdTI1e5tEQ,"11 Heron Dr, Marlboro, NJ 07746, USA","{'latitude': 40.3086013, 'longitude': -74.2666897}","{'text': 'High Top Designs', 'languageCode': 'en'}",http://www.hightopdesigns.com/
places/ChIJdR2BJd5NwokRXQZhHEA940Q,"25 Rector St, Staten Island, NY 10310, USA","{'latitude': 40.636580699999996, 'longitude': -74.1277033}","{'text': 'Major League Screen Printing', 'languageCode': 'en'}",http://www.imprintablefashion.com/majorleague
places/ChIJJXN1SfTRw4kRZPeJEjlW25A,"5 Eliot Ct, Morganville, NJ 07751, USA","{'latitude': 40.3488125, 'longitude': -74.314825}","{'text': 'Promotional Printing Services', 'languageCode': 'en'}",
places/ChIJwYE5uv9bwokRscMSCsuaEsg,"610 New York Ave, Brooklyn, NY 11203, USA","{'latitude': 40.6594705, 'longitude': -73.94775709999999}","{'text': 'The Print Shop', 'languageCode': 'en'}",http://www.printshap.com/
places/ChIJ_dzRan9dwokRUpe6tvIm4HA,"949 Remsen Ave, Brooklyn, NY 11236, USA","{'latitude': 40.645468, 'longitude': -73.911303}","{'text': 'Brooklyn Embroidery & Printing', 'languageCode': 'en'}",https://www.broemb.com/
places/ChIJYalKxRdhwokRBLQ3LKucqhM,"47-01 Van Dam St Suite 102, Long Island City, NY 11101, USA","{'latitude': 40.74371500000001, 'longitude': -73.9337371}","{'text': 'Expressions Embroidery', 'languageCode': 'en'}",https://embroiderynyc.com/
places/ChIJMwY3Q2NdwokROoNstnNRirk,"33 Weirfield St, Brooklyn, NY 11221, USA","{'latitude': 40.6869745, 'longitude': -73.9154349}","{'text': 'Four Hands Embroidery', 'languageCode': 'en'}",https://www.fourhandsembroidery.com/
places/ChIJw3ylSb5fwokR752ZNQDXMeU,"9914 Northern Blvd, Corona, NY 11368, USA","{'latitude': 40.757034, 'longitude': -73.868887}","{'text': 'Northern Apparel', 'languageCode': 'en'}",http://www.northernmas.com/
places/ChIJ2V06CSFcwokRTyhV-1s2Jc8,"17 Lawton St, Brooklyn, NY 11221, USA","{'latitude': 40.6951393, 'longitude': -73.93112099999999}","{'text': 'All Star Screenprinting and Embroidery', 'languageCode': 'en'}",
places/ChIJWWaYna1ZwokRRx_UJXrR7YY,"307 W 36th St. 3rd Floor, New York, NY 10018, USA","{'latitude': 40.753898899999996, 'longitude': -73.9929995}","{'text': 'New York Embroidery Studio', 'languageCode': 'en'}",http://www.nyes.co/
places/ChIJqx30ZJtcwokRWoqwfDEt_rI,"863 Clarkson Ave, Brooklyn, NY 11203, USA","{'latitude': 40.656829300000005, 'longitude': -73.92962399999999}","{'text': 'Embroidery King', 'languageCode': 'en'}",
places/ChIJiTUG8DxawokRz0Mnjw1qGhw,"109 Lafayette St #302, New York, NY 10013, USA","{'latitude': 40.7179576, 'longitude': -74.00074599999999}","{'text': ""Any Body's Custom Design Embroidery"", 'languageCode': 'en'}",http://www.abcde-embroidery.com/
places/ChIJ-3_cRJ1ewokRyNJ4ckDrn_Y,"66-95 Forest Ave, Ridgewood, NY 11385, USA","{'latitude': 40.7046584, 'longitude': -73.9018001}","{'text': 'Planet Embroidery NYC', 'languageCode': 'en'}",http://www.planetembroiderynyc.com/
places/ChIJtXVDbZpZwokRZL5PgClmJrQ,"37 Greenpoint Ave #415, Brooklyn, NY 11222, USA","{'latitude': 40.7299565, 'longitude': -73.9589895}","{'text': 'General Wear Inc.', 'languageCode': 'en'}",http://www.generalwearinc.com/
places/ChIJ479WYRpYwokRLCHVuqui9hw,"540 56th St, West New York, NJ 07093, USA","{'latitude': 40.787135, 'longitude': -74.01938}","{'text': 'JS EMBROIDERY', 'languageCode': 'en'}",
places/ChIJd46PUK9ZwokRznNe5NDSqPk,"45 W 29th St, New York, NY 10001, USA","{'latitude': 40.7465086, 'longitude': -73.9894645}","{'text': 'DREAMTRADER', 'languageCode': 'en'}",http://dreamtrader.squarespace.com/
places/ChIJkwsIsw5ewokRm1lbQplPo4U,"8801 Myrtle Ave, Glendale, NY 11385, USA","{'latitude': 40.7030945, 'longitude': -73.85859289999999}","{'text': 'Needleheads', 'languageCode': 'en'}",https://www.neeedleheadsnyc.com/
places/ChIJL_i52udZwokRlbVgYQha8j0,"104 W 40th St, New York, NY 10018, USA","{'latitude': 40.753629499999995, 'longitude': -73.98570769999999}","{'text': 'The Stitch N Print Store - Screen Printing & Embroidery Shop', 'languageCode': 'en'}",https://thestitchnprintstore.com/
places/ChIJS-yw37BZwokRhmMZ6PIypHs,"845 3rd Ave 6th floor, New York, NY 10022, USA","{'latitude': 40.7566373, 'longitude': -73.9697819}","{'text': 'The Stitch N Print Store - Screen Printing & Embroidery Shop', 'languageCode': 'en'}",https://thestitchnprintstore.com/
places/ChIJR3GYnvBdwokRCvPFuDNWpWE,"9206 95th Ave, Ozone Park, NY 11416, USA","{'latitude': 40.6864018, 'longitude': -73.84958809999999}","{'text': 'Speedy Embroidery and Printing', 'languageCode': 'en'}",http://speedyembroideryprinting.com/
places/ChIJLUQ_D6lfwokRDKqGV4PgRhM,"37-57 80th St Apt. D2, Jackson Heights, NY 11372, USA","{'latitude': 40.747932999999996, 'longitude': -73.88557}","{'text': 'Embroidery Toto', 'languageCode': 'en'}",http://www.embroiderytoto.com/
places/ChIJ1-biNGFcwokRL1d-4YfmZtY,"1533 Pitkin Ave, Brooklyn, NY 11212, USA","{'latitude': 40.6688864, 'longitude': -73.916944}","{'text': ""Julian Tee's Printing LLC"", 'languageCode': 'en'}",https://www.jteesprints.nyc/
places/ChIJf6r1CuBewokRUwF2RnEKKkI,"5202 Roosevelt Ave, Flushing, NY 11377, USA","{'latitude': 40.7440144, 'longitude': -73.91239949999999}","{'text': 'Pins & Needles Embroidery LLC', 'languageCode': 'en'}",
places/ChIJY3Pqj1lfwokRhc7q9Pm0gYA,"6350 Woodhaven Blvd, Rego Park, NY 11374, USA","{'latitude': 40.723199799999996, 'longitude': -73.86854869999999}","{'text': 'The Stitch N Print Store - Screen Printing & Embroidery Shop', 'languageCode': 'en'}",https://thestitchnprintstore.com/
places/ChIJ6R1Dv2VbwokR6svrKPby-Y0,"140 58th Street, Brooklyn Army Terminal, A Floor 8, Brooklyn, NY 11220, USA","{'latitude': 40.6441587, 'longitude': -74.0249671}","{'text': 'New York Embroidery Studio', 'languageCode': 'en'}",http://nyes.co/
places/ChIJPwamUkKtw4kRXdQpJeS56gs,"473 Mundet Pl, Hillside, NJ 07205, USA","{'latitude': 40.7009276, 'longitude': -74.2355173}","{'text': 'The Perfect Stitches', 'languageCode': 'en'}",https://www.theperfectstitches.com/
places/ChIJ4bAxzHk7wokRsJpy2m3nIeI,"51 Ave of Two Rivers, Rumson, NJ 07760, USA","{'latitude': 40.373835500000006, 'longitude': -73.99767969999999}","{'text': 'The Modern Heirloom', 'languageCode': 'en'}",
places/ChIJR1gbuUdbwokRMIJaZHrbDx0,"2129 Cortelyou Rd, Brooklyn, NY 11226, USA","{'latitude': 40.6441403, 'longitude': -73.9575073}","{'text': 'Creative Prints', 'languageCode': 'en'}",
places/ChIJSUZUfn5FwokR1dkMYxj0gfs,"1826 Bath Ave, Brooklyn, NY 11214, USA","{'latitude': 40.6032526, 'longitude': -74.00543019999999}","{'text': 'Konama Embroidery', 'languageCode': 'en'}",http://www.konama.us/
places/ChIJgwS5rDpFwokR5yPMlIOT09A,"1427 57th St, Brooklyn, NY 11219, USA","{'latitude': 40.6289781, 'longitude': -73.9936774}","{'text': 'Tova Embroidery', 'languageCode': 'en'}",http://www.tovaembroidery.com/
places/ChIJVVXl2gBcwokR6njR_v3V7_c,"257 Varet St, Brooklyn, NY 11206, USA","{'latitude': 40.7043683, 'longitude': -73.9336526}","{'text': 'Golden Stitches', 'languageCode': 'en'}",http://www.goldenstitches.com/
places/ChIJhZh-zshfwokR-V7cp0RHTuM,"73-16 Metropolitan Ave, Flushing, NY 11379, USA","{'latitude': 40.712653800000005, 'longitude': -73.8787175}","{'text': 'CT Embroidery Corp', 'languageCode': 'en'}",
places/ChIJcYRGUWFewokRkPFdB2ef4MY,"16-32 Cross Bay Blvd, Broad Channel, NY 11693, USA","{'latitude': 40.600437, 'longitude': -73.82005989999999}","{'text': 'The Stitch N Print Store', 'languageCode': 'en'}",https://thestitchnprintstore.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo
places/ChIJdx8sk8VpwokR9GC0QuE0ln8,"120-04 Newport Ave, Far Rockaway, NY 11694, USA","{'latitude': 40.580487399999996, 'longitude': -73.84187399999999}","{'text': 'Old Threads', 'languageCode': 'en'}",https://oldthreads.co/
