name,formattedAddress,location,displayName,websiteUri
places/ChIJb_9hCq1NwokRVVauVgOVuUI,"33 Francesca Ln, Staten Island, NY 10303, USA","{'latitude': 40.624306999999995, 'longitude': -74.16088}","{'text': 'Mending Hearts Gifts', 'languageCode': 'en'}",
places/ChIJO92BsI-2w4kRiSErrxamVwM,"1376 Oak Tree Rd, Iselin, NJ 08830, USA","{'latitude': 40.5740446, 'longitude': -74.3257995}","{'text': 'Pavitra', 'languageCode': 'en'}",
places/ChIJc2epX0a1w4kRwlh3C9KaDNc,"165 Bricktown Way #1b, Staten Island, NY 10309, USA","{'latitude': 40.5306389, 'longitude': -74.23023909999999}","{'text': 'Five Below', 'languageCode': 'en'}",https://locations.fivebelow.com/ny/staten-island/165-bricktown-way?y_source=1_MTA1NzU1MjU2MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
places/ChIJSxGQvWq2w4kRxfCJwz43X9g,"55 Parsonage Rd # 361, Edison, NJ 08837, USA","{'latitude': 40.5465783, 'longitude': -74.3352008}","{'text': 'East Meets West - Menlo Park Mall', 'languageCode': 'en'}",http://www.eastmeetswestusa.com/
places/ChIJ_yrU1TbKw4kRn0MF6AsqS2U,"3 Cass St, Keyport, NJ 07735, USA","{'latitude': 40.427157799999996, 'longitude': -74.2043628}","{'text': ""Kids' Kastle Holiday Shoppes"", 'languageCode': 'en'}",https://kastlekreations.com/
places/ChIJrfhOsD5RwokR8ehT_raJoLg,"Englewood Ave, Staten Island, NY 10309, USA","{'latitude': 40.5313009, 'longitude': -74.2181289}","{'text': 'Good Fortune Feng Shui', 'languageCode': 'en'}",http://www.mybestfengshui.com/
places/ChIJrQQaPoxEwokRtJ43cxRNjB4,"1619 Avenue U, Brooklyn, NY 11229, USA","{'latitude': 40.599241899999996, 'longitude': -73.95492279999999}","{'text': 'Hallmark Card and Gift Shop', 'languageCode': 'en'}",
places/ChIJa3MTSi20w4kRyApwQcRgqI8,"675 US-1, Iselin, NJ 08830, USA","{'latitude': 40.5602869, 'longitude': -74.3102299}","{'text': 'Jesus Book & Gift Store', 'languageCode': 'en'}",http://www.jesusbookandgift.com/
places/ChIJ553v7He7w4kRYAeMJs5Sa2g,"1157 Valley Rd Stirling Center, Stirling, NJ 07980, USA","{'latitude': 40.6671723, 'longitude': -74.4887837}","{'text': 'Sterling Hallmark Shop', 'languageCode': 'en'}",https://stores.hallmark.com/nj/stirling/sterling-hallmark-shop-stirling-nj-044049.html
places/ChIJ74jVOoW2w4kRzFEI02fyzM4,"45 Wilus Way, Iselin, NJ 08830, USA","{'latitude': 40.5746794, 'longitude': -74.3226578}","{'text': ""St Cecelia's Gift Shop"", 'languageCode': 'en'}",http://stcecelia.com/gift-shop/
places/ChIJ7d1l2HzKw4kRDAnOaqf_R2Y,"144 Smith St, Perth Amboy, NJ 08861, USA","{'latitude': 40.509149699999995, 'longitude': -74.2688146}","{'text': 'Milly Party Decorations', 'languageCode': 'en'}",https://millypartydecorations.com/
places/ChIJH2wUfJtFwokRYwnvcsOMthQ,"8121 3rd Ave, Brooklyn, NY 11209, USA","{'latitude': 40.6265071, 'longitude': -74.0295678}","{'text': 'The Ridge Shop : A Shop for Tweens', 'languageCode': 'en'}",http://www.theridgekids.com/
places/ChIJE1QEJrlKwokRQ6CErLjusAM,"26 Seguine Ave, Staten Island, NY 10309, USA","{'latitude': 40.525531199999996, 'longitude': -74.20120179999999}","{'text': 'Wiggle Piggins', 'languageCode': 'en'}",
places/ChIJ0bRbtOCzw4kRb8gxDuR6Oqo,"1280 NJ-27, Colonia, NJ 07067, USA","{'latitude': 40.592949499999996, 'longitude': -74.2932026}","{'text': ""Cindy's Flowers and Gift Shop"", 'languageCode': 'en'}",http://www.floristrahway.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website_link
places/ChIJo9t_ratbwokR7NDb0Wyie7I,"152 5th Ave, Brooklyn, NY 11217, USA","{'latitude': 40.67816560000001, 'longitude': -73.9794338}","{'text': 'OM Gift Shop', 'languageCode': 'en'}",
places/ChIJ3VngV6pbwokR-_agGreqVFg,"176 5th Ave, Brooklyn, NY 11217, USA","{'latitude': 40.6775356, 'longitude': -73.98000309999999}","{'text': 'Gift Man', 'languageCode': 'en'}",http://www.giftmangifts.com/
places/ChIJ5fhnuddEwokRQ3ZB2GLPN1I,"4915 18th Ave, Brooklyn, NY 11204, USA","{'latitude': 40.6278873, 'longitude': -73.9812104}","{'text': 'Compliments Gift & Shtick Shop', 'languageCode': 'en'}",
places/ChIJR6YLjNRawokRMJLx-cApFKk,"4111 13th Ave, Brooklyn, NY 11219, USA","{'latitude': 40.6392257, 'longitude': -73.9874978}","{'text': 'Glitz Home of Gifts', 'languageCode': 'en'}",https://glitzgift.com/
places/ChIJreupXWxbwokR0qitCcmDz38,"154 Smith St, Brooklyn, NY 11201, USA","{'latitude': 40.686542599999996, 'longitude': -73.9908754}","{'text': 'Rainbow Gift Shop', 'languageCode': 'en'}",
places/ChIJ4_E-M21OwokRcMMaWEFZUOE,"851 Castleton Ave, Staten Island, NY 10310, USA","{'latitude': 40.6349026, 'longitude': -74.11072650000001}","{'text': 'Wicked Stitches Gifts', 'languageCode': 'en'}",https://wickedstitchesgifts.com/
